"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Deaths >= 1""]"																																		
	2000	11	3			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"G"	2	1									2	1								
	2000	11				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"A"	1	1									1	1								
	2001	5	14			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3		1	1						1			1	1						1		
	2001	8	5			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	2	1									2	1								
	2001	10	20			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"T"	1	1									1	1								
	2002	1	17			"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"	1		100	2			400	3		3		3	100	2				3		3		3
	2002					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	3	1									3	1								
	2004	1	29			"Egon"	"Lesser Sunda Is"	"Indonesia"	-8.676	122.455	1661	"Stratovolcano"	1	"T"	1	1									1	1								
	2004	6	8			"Tengger Caldera"	"Java"	"Indonesia"	-7.942	112.95	2329	"Stratovolcano"	2	"T"	2	1			5	1														
	2004	10	24			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	4	"T"	5	1									5	1								
	2005	1	27			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	4	"T"	1	1			14	1					1	1			14	1				
	2005	10	1			"Santa Ana"	"El Salvador"	"El Salvador"	13.853	-89.63	2381	"Stratovolcano"	3	"A"	2	1				1					2	1				1				
	2006	3	17			"Raoul Island"	"Kermadec Is"	"New Zealand"	-29.27	-177.92	516	"Stratovolcano"			1	1									1	1								
	2006	6	7			"Bulusan"	"Luzon-Philippines"	"Philippines"	12.769	124.056	1535	"Stratovolcano"	2		1	1									1	1								
	2006	6	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	1		2	1									2	1								
	2006	7	18			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3		1	1									1	1								
	2006	8	17			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3	"T"	5	1		2	13	1		3		3	6	1		2		2		3		3
	2006	11	30			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	1	"m"	1266	4						1			1266	4						1		
	2007	3				"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	4	"M"	4	1			1	1					4	1			1	1				
	2007	7	7			"Salak"	"Java"	"Indonesia"	-6.716	106.733	2218	"Stratovolcano"		"G"	6	1									6	1								
	2007	9	30			"Tair, Jebel at"	"Red Sea"	"Yemen"	15.55	41.83	244	"Stratovolcano"			7	1			1	1					7	1				1				
	2008	5	2			"Chaiten"	"Chile-S"	"Chile"	-42.833	-72.646	1122	"Caldera"			1	1									1	1								
	2008	8	22			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3	"M"	2	1			2	1		1	2	1	2	1			2	1		1	2	1
	2008	11	20			"Huila, Nevado del"	"Colombia"	"Colombia"	2.93	-76.03	5364	"Stratovolcano"			10	1		1		1					10	1		1		1				
	2010	3	31			"Eyjafjallajokull"	"Iceland-S"	"Iceland"	63.633	-19.633	1651	"Stratovolcano"	2		2	1									2	1								
	2010	5	27			"Pacaya"	"Guatemala"	"Guatemala"	14.382	-90.601	2569	"Complex volcano"	1	"T"	1	1	3	1				1	3	1	1	1	3	1				1	3	1
	2010	8	6			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	3		4	1			5	1				1	4	1			5	1				1
	2010	8	30			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			2	1									2	1								
	2010	10	26			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"			367	3			277	3	600	4		3	367	3			277	3	600	4		3
	2011	1	3			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"M"	1	1			1	1		1			1	1			1	1		1		
	2011	2	23			"Bulusan"	"Luzon-Philippines"	"Philippines"	12.769	124.056	1535	"Stratovolcano"	2		1	1									1	1								
	2011	6	22			"Nabro"	"Africa-NE"	"Eritrea"	13.37	41.7	2218	"Stratovolcano"	4		31	1				3		1			31	1				3		1		
	2011	7	17			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"			1	1									1	1								
	2011	12	27			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"	3	"m"	4	1				1					4	1				1				
	2013	2	12			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"M"	1	1			1	1		1			1	1			1	1		1		
	2013	5	7			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"			5	1			8	1					5	1			8	1				
	2013	8	10			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	3		5	1									5	1								
	2013	12	13			"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"		"G"	1	1									1	1								
	2014	2	1			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			17	1			3	1		1		2	17	1			3	1		1		2
	2014	2	13			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"			7	1						3	4098	4	7	1						3	4098	4
	2014	9	27			"Ontakesan"	"Honshu-Japan"	"Japan"	35.893	137.48	3067	"Complex volcano"	3		55	2			70	2					55	2			70	2				
	2014	12	18			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"			1	1			4	1					1	1			4	1				
	2015	10	16			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"		"M"	1	1						1			1	1						1		
	2015	10				"Okataina"	"New Zealand"	"New Zealand"	-38.12	176.5	1111	"Lava dome"		"I"	1	1									1	1								
	2016	5	9			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			1	1			4	1		1	3	1	1	1			4	1		1		
	2016	5	21			"Sinabung"	"Sumatra"	"Indonesia"	3.17	98.392	2460	"Stratovolcano"			7	1			3	1	100	4			7	1			3	1	100	4		
	2016	6	9			"Yellowstone"	"US-Wyoming"	"United States"	44.43	-110.67	2805	"Caldera"			1	1									1	1								
	2017	7	1			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"			8	1			11	1					8	1			11	1				
	2017	9	12			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"			3	1									3	1								
	2017	12	18			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"A"	8	1			8	1					8	1			8	1				
	2018	1	23			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"	1	"T"	1	1			11	1		1			1	1			11	1		1		
	2018	2	1			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	1	"G"	1	1			3	1					1	1			3	1				
	2018	3	30			"Ambae"	"Vanuatu-SW Pacific"	"Vanuatu"	-15.389	167.835	1496	"Shield volcano"	3	"T,G,M"	4	1						2		1	4	1						2		1
	2018	6	3			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"	2	"P"	201	3	229	3	27	1	120	4	186	3	201	3	229	3	27	1	120	4	186	3
	2019	7	3	5913		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"P,T,W"	1	1			1	1					1	1			1	1				
	2019	12	9			"Whakaari/White Island"	"New Zealand"	"New Zealand"	-37.52	177.18	294	"Stratovolcano"	2	"T"	22	1			25	1					22	1			25	1				
	2020	1	12			"Taal"	"Luzon-Philippines"	"Philippines"	14.002	120.993	311	"Stratovolcano"	4	"T"	39	1					67	4	4573	4	39	1					67	4	4573	4
	2020	5	29	5748	10501	"Ijen"	"Java"	"Indonesia"	-8.058	114.242	2769	"Stratovolcano"		"G,W, S"	1	1									1	1								
	2021	5	22		10545	"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"	2	"L,I,S"	32	1						3	5000	4	32	1						3	5000	4
	2021	9	19			"La Palma"	"Canary Is"	"Spain"	28.57	-17.83	2426	"Stratovolcano"	3	"L"	1	1					924	4	1345	4	1	1					924	4	1345	4
	2021	12	4			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	4	"T"	51	1	9	1	169	3	20	3	2970	4	45	1	9	1	169	3	20	3	2970	4
	2022	6	22			"Popocatepetl"	"Mexico"	"Mexico"	19.023	-98.622	5393	"Stratovolcano"	2	"P"	1	1									1	1								
	2023	12	3			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"		"P,T"	23	1	0		12	1					23	1	0		12	1				
	2023	12	18			"Reykjanes"	"Iceland-SW"	"Iceland"	63.817	-22.717	140	"Crater rows"		"S,L"	1	1						2	3	1	1	1						2	3	1
	2024	4	20			"Ijen"	"Java"	"Indonesia"	-8.058	114.242	2769	"Stratovolcano"			1	1									1	1								
	2024	5	11			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"		"M"	67	2	20	1	33	1		3	521	3	67	2	20	1	33	1		3	521	3
